longitude,latitude,address,batch,classification,name,province,add_detail,era_cn,era_order,era_en,classification_en,era_year,name_en,number,area,num_per_area,province_en
112.734821674,34.630801858299996,河南省偃师县,第三批,古遗址,二里头遗址,河南省,河南省偃师县二里头遗址,夏,5,Xia dynasty,Ancient ruins,-1835,Erlitou Site,188.0,16.7,11.257485029940119,Henan
105.972574489,38.687363137199995,宁夏回族自治区贺兰县,第三批,古建筑,拜寺口双塔,宁夏回族自治区,宁夏回族自治区贺兰县拜寺口双塔,夏,5,Xia dynasty,Ancient architecture,-1835,Bypass of the temple,16.0,6.64,2.409638554216868,Ningxia
113.497292942,34.8500312387,河南省荥阳市,第六批,古遗址,大师姑城址,河南省,河南省荥阳市大师姑城址,夏,5,Xia dynasty,Ancient ruins,-1835,Master Gucheng,188.0,16.7,11.257485029940119,Henan
106.00446712600001,38.4146268333,宁夏回族自治区银川市,第三批,古墓葬,西夏陵,宁夏回族自治区,宁夏回族自治区银川市西夏陵,夏,5,Xia dynasty,Ancient tomb,-1835,Xixia Mausoleum,16.0,6.64,2.409638554216868,Ningxia
100.46284592,38.936676034499996,甘肃省张掖市,第四批,古建筑,张掖大佛寺,甘肃省,甘肃省张掖市张掖大佛寺,夏,5,Xia dynasty,Ancient architecture,-1835,Zhangye Big Buddha Temple,71.0,45.44,1.5625,Gansu
112.78494383,34.7307737477,河南省偃师县,第三批,古遗址,尸乡沟商城遗址,河南省,河南省偃师县尸乡沟商城遗址,商,6,Shang dynasty,Ancient ruins,-1333,Guxianggou Mall Ruins,188.0,16.7,11.257485029940119,Henan
104.053191196,30.669241177399996,四川省成都市,第五批,古遗址,十二桥遗址,四川省,四川省成都市十二桥遗址,商,6,Shang dynasty,Ancient ruins,-1333,Twelve Bridge Site,134.0,48.14,2.7835479850436227,Sichuan
114.274569044,30.699205967199998,湖北省黄陂县,第三批,古遗址,盘龙城遗址,湖北省,湖北省黄陂县盘龙城遗址,商,6,Shang dynasty,Ancient ruins,-1333,Panlongcheng Ruins,91.0,18.59,4.895104895104895,Hubei
104.015411038,30.6871282128,四川省成都市,第六批,古遗址,金沙遗址,四川省,四川省成都市金沙遗址,商,6,Shang dynasty,Ancient ruins,-1333,Jinsha Site,134.0,48.14,2.7835479850436227,Sichuan
114.81647579999999,38.0549363821,河北省藁城市,第六批,古遗址,台西遗址,河北省,河北省藁城市台西遗址,商,6,Shang dynasty,Ancient ruins,-1333,Taixi Ruins,165.0,18.77,8.790623335109219,Hebei
